open,high,low,close,change,volume,amount,position,DATE,CLOSE,OPEN,HIGH,LOW
95.63,95.83,95.63,95.75,0.0,19.0,18191550.0,900.0,2018-07-11 09:20:00,95.75,95.63,95.83,95.63
95.75,95.785,95.75,95.785,0.03499999999999659,7.0,6704950.0,906.0,2018-07-11 09:25:00,95.785,95.75,95.785,95.75
95.785,95.8,95.765,95.8,0.015000000000000568,15.0,14366350.0,913.0,2018-07-11 09:30:00,95.8,95.785,95.8,95.765
95.8,95.8,95.79,95.79,-0.009999999999990905,2.0,1915900.0,913.0,2018-07-11 09:35:00,95.79,95.8,95.8,95.79
95.79,95.79,95.78,95.78,-0.010000000000005116,1.0,957800.0,914.0,2018-07-11 09:40:00,95.78,95.79,95.79,95.78
95.78,95.78,95.75,95.75,-0.030000000000001137,2.0,1915000.0,915.0,2018-07-11 09:45:00,95.75,95.78,95.78,95.75
95.75,95.75,95.73,95.745,-0.0049999999999954525,2.0,1914750.0,914.0,2018-07-11 09:50:00,95.745,95.75,95.75,95.73
95.745,95.745,95.69,95.69,-0.05500000000000682,4.0,3828350.0,911.0,2018-07-11 09:55:00,95.69,95.745,95.745,95.69
95.69,95.69,95.69,95.69,0.0,0.0,0.0,911.0,2018-07-11 10:00:00,95.69,95.69,95.69,95.69
95.69,95.69,95.69,95.69,0.0,0.0,0.0,911.0,2018-07-11 10:05:00,95.69,95.69,95.69,95.69
95.69,95.69,95.69,95.69,0.0,0.0,0.0,911.0,2018-07-11 10:10:00,95.69,95.69,95.69,95.69
95.69,95.69,95.69,95.69,0.0,0.0,0.0,911.0,2018-07-11 10:15:00,95.69,95.69,95.69,95.69
95.69,95.69,95.69,95.69,0.0,0.0,0.0,911.0,2018-07-11 10:20:00,95.69,95.69,95.69,95.69
95.69,95.69,95.69,95.69,0.0,0.0,0.0,911.0,2018-07-11 10:25:00,95.69,95.69,95.69,95.69
95.69,95.69,95.69,95.69,0.0,0.0,0.0,911.0,2018-07-11 10:30:00,95.69,95.69,95.69,95.69
95.69,95.69,95.67,95.67,-0.01999999999999602,1.0,956700.0,912.0,2018-07-11 10:35:00,95.67,95.69,95.69,95.67
95.67,95.67,95.67,95.67,0.0,0.0,0.0,912.0,2018-07-11 10:40:00,95.67,95.67,95.67,95.67
95.67,95.67,95.67,95.67,0.0,0.0,0.0,912.0,2018-07-11 10:45:00,95.67,95.67,95.67,95.67
95.67,95.67,95.67,95.67,0.0,0.0,0.0,912.0,2018-07-11 10:50:00,95.67,95.67,95.67,95.67
95.67,95.7,95.67,95.7,0.030000000000001137,1.0,957000.0,912.0,2018-07-11 10:55:00,95.7,95.67,95.7,95.67
95.7,95.715,95.7,95.715,0.015000000000000568,1.0,957150.0,913.0,2018-07-11 11:00:00,95.715,95.7,95.715,95.7
95.715,95.715,95.715,95.715,0.0,4.0,3828600.0,915.0,2018-07-11 11:05:00,95.715,95.715,95.715,95.715
95.715,95.715,95.67,95.67,-0.045000000000001705,3.0,2870100.0,918.0,2018-07-11 11:10:00,95.67,95.715,95.715,95.67
95.67,95.67,95.67,95.67,0.0,0.0,0.0,918.0,2018-07-11 11:15:00,95.67,95.67,95.67,95.67
